tr,id,mel_lte_uorf,mel_lte_SE_uorf,sim_lte_uorf,sim_lte_SE_uorf,log2Beta_uorf,SE_log2Beta_uorf,p_log2Beta_uorf,adj_P_log2Beta_uorf,mel_lte_cds,mel_lte_SE_cds,sim_lte_cds,sim_lte_SE_cds,log2Beta_cds,SE_log2Beta_cds,p_log2Beta_cds,adj_P_log2Beta_cds,log2Gamma,SE_log2Gamma,p_log2Gamma,adj_P_log2Gamma
FBtr0304621,FBtr0304621_296,-1.75467330661352,0.457945325795485,0.0420203122736897,0.530110453469648,1.79669361888721,0.700521958467919,0.0103237457919023,0.0503764760318044,-0.434114276491125,0.088353690237682,-0.362091522606745,0.11686279418993,0.0720227538843796,0.146503540040827,0.62299435574853,0.832087912095098,-1.72467086500283,0.715677512249912,0.0159593608205752,0.20005468002971
FBtr0304621,FBtr0304621_528,0.102876974716016,0.576289935886374,-0.0906102756199253,1.10006801631929,-0.193487250335941,1.24187750230551,0.876188934331433,0.95428039619632,-0.434114276491125,0.088353690237682,-0.362091522606745,0.11686279418993,0.0720227538843796,0.146503540040827,0.62299435574853,0.832087912095098,0.265510004220321,1.2504891114988,0.831853552986374,0.975273904658722
FBtr0304621,FBtr0304621_535,-1.23481621937858,0.422940824460016,-1.14950115491931,0.87086817896138,0.085315064459262,0.96813755537239,0.92977901574271,0.97371246837048,-0.434114276491125,0.088353690237682,-0.362091522606745,0.11686279418993,0.0720227538843796,0.146503540040827,0.62299435574853,0.832087912095098,-0.0132923105748823,0.979159646516809,0.989168871815013,0.999144147981032
FBtr0304668,FBtr0304668_58,-4.63916867337015,2.21717697008044,-6.0249727467411,2.34324562525428,-1.38580407337094,3.22593765856198,0.66749988596235,0.85750566868883,-6.06700027124359,1.0036944079454,-6.04186225452912,1.12676776575788,0.0251380167144646,1.50897583230875,0.986708662051367,0.995168886227721,1.41094209008541,3.56141570719009,0.691976300994135,0.939579582347135
FBtr0304683,FBtr0304683_29,-0.319541226963656,0.405675170881996,3.58744042520347,0.744552145828679,3.90698165216712,0.847897542235043,4.06860997643056e-06,5.39706126970572e-05,-0.395031500569231,0.177539693627645,0.635705420894269,0.132470929744251,1.0307369214635,0.221514988298094,3.2694197454404e-06,4.42955251857455e-05,-2.87624473070362,0.87635559687203,0.00103054560652064,0.0371471324156887
FBtr0304683,FBtr0304683_577,1.97323549883549,0.228661809476472,1.6463441746026,0.282991832931643,-0.326891324232893,0.363827707327336,0.368930573474331,0.644266063901148,-0.395031500569231,0.177539693627645,0.635705420894269,0.132470929744251,1.0307369214635,0.221514988298094,3.2694197454404e-06,4.42955251857455e-05,1.35762824569639,0.425957146506277,0.00143636845376822,0.045858261409694
FBtr0304683,FBtr0304683_592,2.28734351056138,0.250530690629672,1.95217300678291,0.306044663209287,-0.335170503778471,0.395511014797649,0.396751819633303,0.66816211437629,-0.395031500569231,0.177539693627645,0.635705420894269,0.132470929744251,1.0307369214635,0.221514988298094,3.2694197454404e-06,4.42955251857455e-05,1.36590742524197,0.45331871003409,0.00258569593198266,0.0653368264335565
FBtr0304683,FBtr0304683_9,0.576541465267898,0.266055772377381,3.1454416255241,0.481698622322922,2.5689001602562,0.550290138711504,3.03754042333707e-06,4.14383970808856e-05,-0.395031500569231,0.177539693627645,0.635705420894269,0.132470929744251,1.0307369214635,0.221514988298094,3.2694197454404e-06,4.42955251857455e-05,-1.5381632387927,0.593201590358481,0.00951467276801491,0.148290583355337
FBtr0304683,FBtr0304683_97,-0.757395134988322,0.565737065809873,0.504992776196486,0.832232234312626,1.26238791118481,1.0063145231289,0.209672475420176,0.458928220383632,-0.395031500569231,0.177539693627645,0.635705420894269,0.132470929744251,1.0307369214635,0.221514988298094,3.2694197454404e-06,4.42955251857455e-05,-0.231650989721308,1.03040662337781,0.822123102308201,0.974488090052243
FBtr0304692,FBtr0304692_197,1.33936412392287,0.232465923261356,1.31476634392354,0.443897326904583,-0.0245977799993347,0.501084067109292,0.960848267418643,0.983499632497562,-0.0245511507598742,0.222683362521881,1.30010354041625,0.170944759878181,1.32465469117612,0.28073117189557,2.37487433213185e-06,3.31623568296587e-05,1.34925247117546,0.574365069606996,0.0188178411560576,0.220349032219585
