id,mel_nor_mrna,mel_nor_rpf,mel_lte,mel_lte_SE,sim_nor_mrna,sim_nor_rpf,sim_lte,sim_lte_SE,log2Beta,SE_log2Beta,p_log2Beta,adj_P_log2Beta
FBtr0088631,315.038459190669,344.948360524545,0.130860248691127,0.188055925450496,26.646976320831,60.0443360153106,1.17206103124329,0.482124515897851,1.04120078255217,0.517502734221549,0.0442229352272607,0.110777648436594
FBtr0088632,4291.57859381873,667.956542641168,-2.68366226868071,0.145660361190427,2522.13630876665,745.300320790042,-1.75873595378136,0.104571846423565,0.924926314899346,0.179310378635927,2.49279381253854e-07,2.12390323812791e-06
FBtr0088633,1037.8220074901,444.898062160632,-1.22200039139704,0.132339002351241,410.363435340797,183.885779046889,-1.1580798450715,0.229762167721489,0.0639205463255423,0.265149514914509,0.809498078767624,0.904552445441159
FBtr0088633_126,349.495790664649,4.87559520176035,-6.16350491353854,0.608248825453214,167.875950821235,0,-10.247787285133,1.60160511108811,-4.08428237159449,1.71321497936738,0.0171262037524588,0.0502802486070798
FBtr0088633_205,685.044566208877,7.31339280264053,-6.54946460681677,0.553026299804859,294.449088345183,2.25166260057415,-7.03082553356602,0.788286790353082,-0.481360926749253,0.962929982979561,0.617151175563648,0.778805623010425
FBtr0088633_391,45.9431086319726,3.65669640132026,-3.65118678859109,0.832788151329667,25.3146275047894,2.25166260057415,-3.49085888745768,1.08842505065137,0.160327901133412,1.37047626607706,0.906870358594097,0.958890229815043
FBtr0088633_60,154.237578978765,3.65669640132026,-5.39842191852867,0.685814076047107,115.914346995615,1.50110840038276,-6.27082916361101,0.934233374240173,-0.872407245082339,1.1589361261297,0.451590783455711,0.638866239653002
FBtr0088641,2953.48555491252,6774.63953284601,1.19773373551949,0.128188204211174,2006.51731695857,2470.07387282984,0.299870421229029,0.0899143967036005,-0.897863314290462,0.15657846094996,9.79326910334543e-09,9.91787655549157e-08
FBtr0088644,502.092544335129,1196.95862203217,1.25335423170652,0.150165246731445,270.466809656435,658.236033567842,1.2831595520502,0.174687001123133,0.0298053203436814,0.230358741286953,0.897051798194711,0.954566250517056
FBtr0088645,1159.24308030317,3237.39521396887,1.48165717861259,0.148675882573961,1213.76977141385,3000.71569236515,1.30581979160501,0.138904009906804,-0.175837387007587,0.20346705391128,0.387474903551448,0.578295312270597
FBtr0088650,4294.86024443529,5532.58165519756,0.365350876952136,0.101545315194486,2972.4702085887,5238.86831733585,0.817602505555925,0.109207640427517,0.452251628603789,0.149123303898798,0.00242347426337715,0.00933724370168591
FBtr0088651,7083.4428558652,1001.93481396175,-2.82164062425388,0.170824680062539,5659.8177705445,676.249334372435,-3.06510333850349,0.172737725522957,-0.243462714249602,0.242939072891359,0.316268523765562,0.501188308946746
FBtr0088651_247,177.209133294751,24.3779760088018,-2.86177955579396,0.349030743875647,147.890718580612,14.2605298036363,-3.3744056193203,0.414519734282742,-0.512626063526338,0.541893965901284,0.344153883716783,0.53253745253909
FBtr0088651_305,137.008913241775,9.75119040352071,-3.81251497424081,0.476530667260182,95.9291147549916,6.00443360153105,-3.99783449600015,0.600445176667349,-0.185319521759347,0.766561078468323,0.808970466155364,0.904552445441159
FBtr0088651_65,15.587840428705,2.43779760088018,-2.67670169492886,1.13893384894597,11.991139344374,9.00665040229658,-0.412886563850692,0.983404613619598,2.26381513107817,1.50474414647912,0.132465059554327,0.263880528019242
FBtr0088652,4528.67785086587,4751.26752411546,0.0692322076346339,0.0967418587054579,3590.68005923198,1275.94214032535,-1.49267845088292,0.0984234453496312,-1.56191065851756,0.138007832459896,1.0743146281212e-29,7.0314336342197e-28
FBtr0088652_99,114.857771579931,1.21889880044009,-6.55805416866085,0.987479883689204,77.2762313304099,0,-9.12849238236412,1.6319525896129,-2.57043821370328,1.90745531413847,0.177795264577087,0.330179293661213
FBtr0088653,1227.33733059698,1997.7751339213,0.702869993040858,0.112550556382255,520.948387072246,734.792561987363,0.496204640118683,0.14428124682871,-0.206665352922176,0.182988267187823,0.258732810599109,0.43434753440162
FBtr0088654,5488.56065621244,7570.58044953339,0.463985434163702,0.113702721417601,2580.75965667248,3376.74334666103,0.387846748260816,0.0920240613490541,-0.0761386859028859,0.146276234313517,0.602706048748276,0.76676796033124
FBtr0088657,1690.05006753328,2659.63718256027,0.654171433424225,0.10310966737586,318.43136703393,1140.8423842909,1.84105052539491,0.179907626495269,1.18687909197069,0.207360453263205,1.04198943586305e-08,1.0512146926519e-07
FBtr0088658,3630.32599457998,854.448059108502,-2.08701777874642,0.117239948680471,2310.29284701605,239.426789861051,-3.27039426985526,0.174130456099846,-1.18337649110884,0.209920511880426,1.72777217764295e-08,1.70081936119867e-07
FBtr0088658_136,69.7350756021012,0,-8.28080055994569,1.49051650109486,39.9704644812465,0,-8.17739639249191,1.69742025138057,0.10340416745378,2.2589543930396,0.963489397982988,0.983325449324711
FBtr0088658_180,139.470151204202,2.43779760088018,-5.83817921569121,0.793706336867749,51.9616038256205,6.75498780172244,-2.94339045154194,0.663605310272962,2.89478876414926,1.03457322457451,0.00514119759022451,0.0179998737028218
FBtr0088658_217,57.4288857899657,0,-8.0006891201337,1.51204569953719,25.3146275047894,0,-7.51842263148104,1.75619931543074,0.482266488652657,2.31743785957862,0.835148302949756,0.918538081881879
FBtr0088658_340,211.666464768731,17.0645832061612,-3.6326877119242,0.375776135801634,95.9291147549916,9.75720460248797,-3.29740084443596,0.506187604395539,0.335286867488236,0.630423345920583,0.594834052652153,0.761339519996561
FBtr0088658_353,118.959834850643,4.87559520176035,-4.60871021134201,0.632428589854622,66.6174408020775,6.00443360153105,-3.47176711923182,0.644809167514084,1.13694309211019,0.90318590764898,0.208097511590657,0.370775273388062
FBtr0088658_389,383.132709484486,14.6267856052811,-4.71112573950657,0.398195468585016,255.810972679978,9.75720460248797,-4.7124314022322,0.461649624519483,-0.00130566272562849,0.609655646263217,0.998291220067566,0.999140573496491
FBtr0088663,557.88060481681,174.302528462933,-1.67834912352807,0.210850025480086,23.9822786887479,187.638550047845,2.96791352850961,0.430089679499402,4.64626265203768,0.478993596676251,3.01345897122901e-22,1.13914502733404e-20
FBtr0088666_398,0.820412654142368,0,-1.87145528951235,4.37053847823785,1.33234881604155,0.750554200191382,-0.827896286532861,3.13763639417064,1.04355900297949,5.38018296452656,0.846204478686237,0.924474599111002
FBtr0088674,3214.3767789298,550.94225779892,-2.54454712549317,0.135089900705008,1845.30311021755,208.654067653204,-3.14464901684651,0.172601958699923,-0.600101891353345,0.219181927675479,0.00618297079531504,0.0210380396191181
FBtr0088675,1230.61898121355,2474.36456489338,1.00768122603857,0.124336176643418,1336.34586248967,811.349090406884,-0.719887023774038,0.10036772688222,-1.72756824981261,0.159791005447138,3.03916547586518e-27,1.63177430414334e-25
